account_id,customer_id,account_type,balance
1,334,CHEQUING,37030
2,336,CHEQUING,7687
3,492,CHEQUING,39076
4,199,CHEQUING,30796
5,7,CHEQUING,45205
6,654,CHEQUING,32759
7,13,SAVINGS,42688
8,579,CHEQUING,12000
9,70,SAVINGS,37143
10,726,CHEQUING,31855
11,273,CHEQUING,37912
12,694,SAVINGS,6696
13,541,CHEQUING,12423
14,850,SAVINGS,27862
15,665,SAVINGS,1892
16,281,SAVINGS,25385
17,609,CHEQUING,8360
18,436,SAVINGS,16827
19,85,CHEQUING,26765
20,653,CHEQUING,13437
21,900,CHEQUING,41592
22,404,CHEQUING,33745
23,956,CHEQUING,34895
24,153,CHEQUING,31819
25,711,CHEQUING,45206
26,724,CHEQUING,3909
27,770,SAVINGS,1603
28,245,SAVINGS,13539
29,129,SAVINGS,2311
30,280,CHEQUING,6026
31,690,SAVINGS,7478
32,987,CHEQUING,7014
33,566,SAVINGS,11659
34,196,CHEQUING,3803
35,535,SAVINGS,3225
36,562,SAVINGS,29727
37,51,SAVINGS,32711
38,769,CHEQUING,48347
39,5,CHEQUING,34385
40,482,SAVINGS,274
41,424,SAVINGS,39375
42,726,CHEQUING,16117
43,242,CHEQUING,29185
44,719,CHEQUING,26055
45,865,CHEQUING,1641
46,108,CHEQUING,12671
47,940,SAVINGS,1651
48,571,SAVINGS,3790
49,464,SAVINGS,43070
50,760,CHEQUING,20497
51,929,CHEQUING,3225
52,116,CHEQUING,13226
53,840,CHEQUING,36332
54,416,CHEQUING,40711
55,816,SAVINGS,4659
56,869,CHEQUING,42782
57,304,SAVINGS,10079
58,424,SAVINGS,29376
59,65,SAVINGS,16372
60,764,SAVINGS,31648
61,695,SAVINGS,40048
62,214,CHEQUING,9055
63,536,CHEQUING,6774
64,641,SAVINGS,30009
65,493,SAVINGS,31542
66,103,CHEQUING,46113
67,391,SAVINGS,7877
68,531,CHEQUING,23994
69,858,SAVINGS,39114
70,91,SAVINGS,30613
71,847,CHEQUING,29541
72,256,SAVINGS,3234
73,630,SAVINGS,32855
74,761,SAVINGS,1804
75,884,SAVINGS,45327
76,450,CHEQUING,39351
77,596,SAVINGS,17957
78,701,CHEQUING,11396
79,480,SAVINGS,49226
80,565,CHEQUING,14883
81,21,CHEQUING,43258
82,134,CHEQUING,41720
83,263,CHEQUING,34532
84,427,SAVINGS,17892
85,68,SAVINGS,12972
86,672,CHEQUING,33559
87,397,CHEQUING,48529
88,277,SAVINGS,18325
89,506,SAVINGS,14682
90,100,CHEQUING,42240
91,570,SAVINGS,49475
92,686,CHEQUING,39114
93,266,CHEQUING,47023
94,824,SAVINGS,17309
95,25,CHEQUING,5906
96,243,SAVINGS,25619
97,285,SAVINGS,32749
98,862,CHEQUING,10912
99,440,CHEQUING,9209
100,399,CHEQUING,18571
101,616,SAVINGS,1882
102,23,CHEQUING,4735
103,573,CHEQUING,21136
104,324,SAVINGS,14700
105,198,CHEQUING,17905
106,750,SAVINGS,13104
107,82,SAVINGS,31430
108,10,SAVINGS,14878
109,326,CHEQUING,41562
110,987,CHEQUING,40345
111,422,SAVINGS,16388
112,72,SAVINGS,29364
113,405,SAVINGS,7147
114,81,SAVINGS,16569
115,13,SAVINGS,33742
116,476,SAVINGS,9811
117,808,SAVINGS,48689
118,66,CHEQUING,39980
119,86,CHEQUING,44658
120,897,SAVINGS,21030
121,851,CHEQUING,39288
122,340,CHEQUING,18523
123,803,CHEQUING,24501
124,138,SAVINGS,48140
125,79,CHEQUING,21922
126,423,SAVINGS,9993
127,356,CHEQUING,17764
128,957,CHEQUING,39693
129,81,CHEQUING,34727
130,500,CHEQUING,35164
131,773,SAVINGS,7955
132,308,CHEQUING,19704
133,548,CHEQUING,12144
134,610,SAVINGS,36225
135,737,SAVINGS,24549
136,877,SAVINGS,39416
137,872,CHEQUING,25647
138,422,SAVINGS,10813
139,205,CHEQUING,10062
140,891,CHEQUING,21072
141,476,CHEQUING,25146
142,408,SAVINGS,15132
143,911,CHEQUING,12235
144,556,CHEQUING,8188
145,594,CHEQUING,45796
146,432,SAVINGS,46604
147,435,CHEQUING,48726
148,45,SAVINGS,16191
149,497,CHEQUING,32245
150,713,SAVINGS,25671
151,144,CHEQUING,23244
152,606,SAVINGS,3455
153,311,SAVINGS,32535
154,53,SAVINGS,16692
155,517,CHEQUING,20749
156,258,SAVINGS,38248
157,670,CHEQUING,27503
158,975,SAVINGS,22357
159,917,CHEQUING,29774
160,183,CHEQUING,43498
161,763,SAVINGS,5709
162,700,CHEQUING,13423
163,23,CHEQUING,45596
164,267,CHEQUING,43802
165,548,CHEQUING,27934
166,534,SAVINGS,22273
167,830,SAVINGS,5893
168,783,CHEQUING,26514
169,426,CHEQUING,26784
170,601,CHEQUING,24130
171,405,SAVINGS,18906
172,482,SAVINGS,49481
173,99,CHEQUING,39854
174,848,CHEQUING,42190
175,158,CHEQUING,25523
176,494,SAVINGS,46908
177,764,SAVINGS,43578
178,529,CHEQUING,10017
179,531,SAVINGS,23945
180,879,SAVINGS,15587
181,771,CHEQUING,5236
182,739,CHEQUING,49190
183,634,SAVINGS,4506
184,745,CHEQUING,31027
185,435,SAVINGS,22012
186,561,CHEQUING,33969
187,557,SAVINGS,17383
188,754,SAVINGS,3346
189,142,CHEQUING,39043
190,586,CHEQUING,17523
191,928,CHEQUING,36450
192,211,SAVINGS,49822
193,95,SAVINGS,42624
194,135,CHEQUING,39848
195,894,SAVINGS,32626
196,782,CHEQUING,47353
197,52,CHEQUING,916
198,420,CHEQUING,31218
199,435,CHEQUING,29459
200,466,CHEQUING,40360
201,584,CHEQUING,22280
202,53,CHEQUING,47962
203,707,CHEQUING,3612
204,861,CHEQUING,35639
205,314,CHEQUING,22839
206,978,CHEQUING,23102
207,543,CHEQUING,38303
208,193,SAVINGS,11377
209,766,CHEQUING,37686
210,805,SAVINGS,27426
211,202,CHEQUING,39628
212,32,SAVINGS,45239
213,759,SAVINGS,36205
214,843,CHEQUING,37455
215,870,CHEQUING,19778
216,172,SAVINGS,6909
217,210,SAVINGS,26167
218,725,CHEQUING,33635
219,1000,CHEQUING,37411
220,539,CHEQUING,1103
221,963,CHEQUING,41649
222,670,CHEQUING,10876
223,323,CHEQUING,17131
224,989,SAVINGS,33403
225,327,CHEQUING,14823
226,861,SAVINGS,33255
227,186,CHEQUING,43601
228,308,CHEQUING,46577
229,111,CHEQUING,33942
230,151,CHEQUING,12791
231,654,CHEQUING,28408
232,830,SAVINGS,2804
233,524,SAVINGS,37294
234,988,SAVINGS,25195
235,958,CHEQUING,39419
236,719,CHEQUING,36311
237,866,CHEQUING,13601
238,528,CHEQUING,14717
239,234,SAVINGS,43794
240,754,CHEQUING,31863
241,566,CHEQUING,23653
242,356,CHEQUING,17268
243,749,CHEQUING,26586
244,966,SAVINGS,28795
245,357,CHEQUING,40124
246,561,SAVINGS,24936
247,625,SAVINGS,30889
