transaction_id,transaction_type,account_id,amount,Location,timestamp
1,Credit,5,6867.84,Mullinsburgh,2025-08-27 10:17:45.947639
2,Credit,431,11715.81,Jessicaview,2025-06-13 10:17:45.947693
3,Credit,1732,2161.31,South Zachary,2025-07-10 10:17:45.947721
4,Credit,1956,5552.2,Rachelstad,2025-12-26 10:17:45.947746
5,Credit,1300,3588.21,East Rachaelton,2026-05-01 10:17:45.947770
6,Debit,1329,2039.37,North Erin,2025-06-29 10:17:45.947796
7,Credit,1701,16168.6,Barneston,2026-03-21 10:17:45.947820
8,Debit,413,4439.91,Boydton,2025-08-20 10:17:45.947852
9,Debit,1950,19686.93,Martinezshire,2025-10-28 10:17:45.947884
10,Debit,1948,2568.24,North Mirandachester,2025-10-31 10:17:45.947915
11,Credit,849,4088.12,West Brianberg,2026-01-06 10:17:45.947940
12,Debit,1942,3690.46,Fieldsberg,2025-10-09 10:17:45.947965
13,Credit,92,17784.1,North Carlos,2025-12-23 10:17:45.947997
14,Credit,1463,17463.48,Lindaton,2026-02-25 10:17:45.948020
15,Debit,933,5519.12,Lake Victoriaside,2026-03-28 10:17:45.948044
16,Debit,1864,5419.99,Simpsonland,2026-03-14 10:17:45.948068
17,Debit,1676,4980.61,Lake Katelyn,2026-02-01 10:17:45.948099
18,Debit,1617,16248.12,New Darrenville,2026-02-04 10:17:45.948122
19,Debit,1190,2744.64,West Williamside,2025-10-13 10:17:45.948147
20,Credit,500,1273.59,Millerhaven,2025-06-24 10:17:45.948172
21,Credit,1512,9966.7,West Abigailmouth,2026-02-06 10:17:45.948202
22,Debit,590,4328.41,Dianaland,2025-09-19 10:17:45.948227
23,Credit,1352,15152.38,Fosterville,2025-11-07 10:17:45.948250
24,Debit,94,3008.54,Vancefurt,2026-01-22 10:17:45.948283
25,Debit,1578,4914.92,Chambersport,2026-04-08 10:17:45.948317
26,Credit,497,8423.37,New Alejandro,2026-04-22 10:17:45.948351
27,Debit,1768,7165.79,Michaelshire,2025-11-19 10:17:45.948376
28,Credit,1207,10198.58,East Benjaminmouth,2026-04-14 10:17:45.948402
29,Credit,1646,19243.47,Bobbyview,2025-07-06 10:17:45.948428
30,Debit,1821,4866.8,Turnerburgh,2025-07-01 10:17:45.948454
31,Debit,1814,4075.17,Smithfort,2025-08-08 10:17:45.948488
32,Debit,479,4171.17,Port Kim,2025-11-20 10:17:45.948523
33,Debit,825,2988.39,Jonathanton,2025-08-08 10:17:45.948548
34,Debit,4,3476.11,Walterburgh,2025-12-21 10:17:45.948574
35,Debit,326,11018.05,Benjamintown,2026-03-08 10:17:45.948608
36,Debit,135,19891.35,Lake Jenniferborough,2025-11-17 10:17:45.948634
37,Debit,1833,18842.86,Livingstonville,2025-09-29 10:17:45.948661
38,Debit,1956,16710.58,Kochview,2026-05-07 10:17:45.948693
39,Debit,1031,7081.34,Jenningsview,2025-07-14 10:17:45.948724
40,Debit,277,7622.98,Lake Michelle,2025-06-09 10:17:45.948755
41,Credit,1809,16133.29,East Stephen,2026-03-25 10:17:45.948778
42,Debit,1062,17988.48,Timothyville,2026-04-30 10:17:45.948801
43,Credit,534,955.68,Martinezmouth,2025-10-15 10:17:45.948824
44,Debit,1219,3046.88,Port Jenniferport,2026-05-26 10:17:45.948855
45,Credit,38,3672.55,Pachecoport,2025-10-21 10:17:45.948880
46,Credit,343,6317.35,Port Janetmouth,2025-06-21 10:17:45.948911
47,Debit,557,15664.79,New Josephfurt,2026-04-22 10:17:45.948935
48,Credit,207,2053.1,South Jessicaburgh,2025-09-08 10:17:45.948959
49,Credit,1331,9564.96,Coreychester,2025-06-20 10:17:45.948984
50,Credit,166,14142.46,Aguirreburgh,2026-02-27 10:17:45.949007
51,Credit,1330,10516.14,Ellisstad,2025-11-16 10:17:45.949037
52,Credit,332,8724.34,Pageport,2025-11-26 10:17:45.949068
53,Debit,541,14257.52,North Saraland,2026-05-14 10:17:45.949099
54,Credit,1298,310.99,Moorestad,2025-08-14 10:17:45.949123
55,Credit,155,8948.91,New Andrewside,2025-06-23 10:17:45.949154
56,Debit,1386,121.47,Wheelerborough,2025-10-21 10:17:45.949178
57,Credit,1866,4208.71,Tiffanyshire,2026-01-21 10:17:45.949209
58,Debit,801,18948.92,Port Austin,2025-07-26 10:17:45.949232
59,Debit,1756,11518.91,Port Diane,2026-02-16 10:17:45.949255
60,Credit,125,19362.13,North Hannahstad,2026-01-25 10:17:45.949280
61,Credit,604,9678.79,Hicksfort,2026-05-21 10:17:45.949307
62,Credit,526,5565.83,West Sandra,2025-10-25 10:17:45.949341
63,Credit,1253,10721.27,Lake Karen,2026-04-25 10:17:45.949366
64,Debit,1802,4289.37,East Scottport,2025-10-27 10:17:45.949391
65,Debit,156,9958.76,Tonyastad,2025-09-01 10:17:45.949418
66,Debit,1998,10491.11,East Taylormouth,2025-10-03 10:17:45.949446
67,Debit,540,9238.78,Lake Nicholas,2025-06-16 10:17:45.949473
68,Credit,1928,19774.29,Rasmussenville,2025-07-02 10:17:45.949497
69,Credit,1820,17551.98,Kimberlyside,2025-11-22 10:17:45.949532
70,Debit,1175,13778.47,North Nathan,2025-09-21 10:17:45.949557
71,Debit,1793,2371.66,West Jameshaven,2025-11-30 10:17:45.949582
72,Credit,875,11487.8,South Todd,2026-03-05 10:17:45.949609
73,Credit,499,12004.04,Beckberg,2025-10-20 10:17:45.949634
74,Credit,999,10633.37,Cristianhaven,2025-08-03 10:17:45.949668
75,Credit,565,5546.82,Gabriellebury,2026-01-26 10:17:45.949692
76,Debit,333,11828.12,South Matthew,2025-07-15 10:17:45.949715
77,Credit,844,6006.71,Taylorport,2025-09-13 10:17:45.949738
78,Credit,192,17893.24,South Donna,2026-04-05 10:17:45.949762
79,Credit,1742,5773.36,Marthachester,2026-03-26 10:17:45.949784
80,Debit,1529,8233.65,Jonchester,2025-06-07 10:17:45.949808
81,Credit,1433,18105.86,Kingbury,2025-10-05 10:17:45.949831
82,Debit,1063,6240.53,Lake Timothy,2025-06-16 10:17:45.949863
83,Credit,498,12422.85,South Travis,2025-09-13 10:17:45.949886
84,Debit,1348,2311.97,Davidtown,2026-05-27 10:17:45.949909
85,Credit,153,2339.08,South Todd,2025-07-05 10:17:45.949932
86,Credit,872,1436.46,Nataliefort,2025-06-24 10:17:45.949955
87,Credit,809,3519.96,North Andreaton,2025-10-01 10:17:45.949978
88,Debit,461,5560.98,North Jeffreystad,2026-01-27 10:17:45.950002
89,Debit,1266,426.55,Travischester,2025-07-21 10:17:45.950026
90,Credit,165,19988.41,New Dennisland,2026-01-20 10:17:45.950049
91,Debit,1446,5368.79,Thompsonside,2025-07-25 10:17:45.950073
92,Credit,1953,14301.54,Edwardview,2025-09-20 10:17:45.950104
93,Credit,1392,8477.34,Kylefurt,2025-07-30 10:17:45.950127
94,Credit,1551,19570.02,West Jodihaven,2025-12-03 10:17:45.950150
95,Debit,205,13875.76,Whiteland,2025-07-22 10:17:45.950174
96,Credit,1306,15489.99,New Kathleen,2026-04-15 10:17:45.950205
97,Credit,325,17916.6,East Jennifermouth,2026-01-11 10:17:45.950230
98,Debit,1489,651.51,Lisastad,2026-05-03 10:17:45.950258
99,Debit,551,15673.89,Mcclureberg,2025-06-15 10:17:45.950288
100,Credit,891,18505.07,Crystalburgh,2025-10-16 10:17:45.950325
101,Credit,310,8290.55,Juliestad,2026-05-03 10:17:45.950350
102,Credit,1024,13302.54,Lake Danielbury,2025-06-20 10:17:45.950376
103,Debit,199,8317.62,Coreyview,2025-11-22 10:17:45.950402
104,Debit,585,7988.13,South Dianachester,2025-08-02 10:17:45.950427
105,Debit,614,17938.9,Gregoryport,2025-11-25 10:17:45.950454
106,Credit,775,18348.4,Brittanyburgh,2025-10-31 10:17:45.950479
107,Debit,1067,4642.2,Burnettview,2026-03-04 10:17:45.950505
108,Debit,971,2538.17,Gregchester,2025-09-30 10:17:45.950539
109,Credit,1084,6514.22,Omarside,2026-01-10 10:17:45.950565
110,Credit,921,4595.44,East Chelseafort,2025-12-07 10:17:45.950590
111,Debit,1,5899.26,West Phillipport,2025-09-03 10:17:45.950616
112,Debit,1622,14184.74,Burkeview,2025-08-22 10:17:45.950643
113,Debit,1563,7573.86,Sosaberg,2026-05-16 10:17:45.950677
114,Credit,1149,2177.04,Elizabethborough,2025-12-19 10:17:45.950708
115,Debit,1818,18709.02,Allisonside,2025-07-12 10:17:45.950736
116,Credit,1605,3261.1,Christopherville,2026-01-01 10:17:45.950759
117,Credit,516,17088.04,Gloriafurt,2025-12-15 10:17:45.950782
118,Debit,133,15743.06,Shawntown,2026-01-01 10:17:45.950805
119,Debit,1867,8591.58,Andersonstad,2025-09-05 10:17:45.950829
120,Credit,1737,16317.14,South Bryan,2025-10-27 10:17:45.950860
121,Debit,274,15025.38,North Alexis,2025-08-25 10:17:45.950883
122,Credit,1080,15463.41,Hortonborough,2026-05-15 10:17:45.950906
